"","x"
"168","4"
"169","1"
"170","8"
"171","3"
"172","2"
"173","5"
"174","2"
"175","1"
"176","2"
"177","3"
"178","3"
"179","4"
"180","5"
"181","5"
"182","5"
"183","6"
"184","8"
"185","4"
"186","2"
"187","1"
"188","4"
"189","5"
"190","5"
"191","2"
"192","5"
"193","2"
"194","2"
"195","6"
"196","3"
"197","4"
"198","7"
"199","4"
"200","3"
"201","1"
"202","3"
"203","4"
"204","4"
"205","3"
"206","5"
"207","5"
"208","7"
"209","5"
"210","4"
"211","3"
"212","8"
"213","4"
"214","4"
"215","4"
"216","3"
"217","3"
"218","7"
"219","3"
"220","5"
"221","1"
"222","3"
"223","3"
"224","5"
"225","4"
"226","1"
"227","4"
"228","4"
"229","6"
"230","6"
"231","3"
"232","3"
"233","2"
"234","8"
"235","2"
"236","7"
"237","3"
"238","5"
"239","1"
"240","5"
"241","1"
"242","4"
"243","4"
"244","8"
"245","3"
"246","2"
"247","8"
"248","3"
"249","3"
"250","3"
"251","3"
"252","3"
"253","1"
"254","5"
"255","3"
"256","9"
"257","8"
"258","8"
"259","8"
"260","3"
"261","4"
"262","4"
"263","4"
"264","4"
"265","7"
"266","5"
"267","3"
"268","2"
"269","1"
"270","8"
"271","2"
"272","3"
"273","7"
"274","3"
"275","4"
"276","5"
"277","5"
"278","3"
"279","3"
"280","6"
"281","7"
"282","3"
"283","1"
"284","5"
"285","4"
"286","5"
"287","6"
"288","4"
"289","3"
"290","1"
"291","3"
"292","7"
"293","9"
"294","5"
"295","3"
"296","3"
"297","7"
"298","5"
"299","4"
"300","8"
"301","5"
"302","5"
"303","7"
"304","8"
"305","1"
"306","4"
"307","1"
"308","2"
"309","4"
"310","6"
"311","7"
"312","3"
"313","4"
"314","8"
"315","2"
"316","7"
"317","1"
"318","5"
"319","5"
"320","5"
"321","9"
"322","5"
"323","4"
"324","1"
"325","4"
"326","1"
"327","7"
"328","2"
"329","3"
"330","1"
"331","5"
"332","5"
"333","3"
"334","3"
"335","4"
"336","6"
"337","5"
"338","2"
"339","1"
"340","8"
"341","1"
"342","5"
"343","3"
"344","5"
"345","7"
"346","7"
"347","1"
"348","3"
"349","5"
"350","4"
"351","2"
"352","2"
"353","4"
"354","6"
"355","5"
"356","5"
"357","3"
"358","4"
"359","7"
"360","8"
"361","1"
"362","1"
"363","1"
"364","3"
"365","4"
"366","3"
"367","3"
"368","8"
"369","3"
"370","2"
"371","3"
"372","2"
"373","9"
"374","5"
"375","5"
"376","3"
"377","3"
"378","4"
"379","1"
"380","5"
"381","7"
"382","4"
"383","7"
"384","4"
"385","5"
"386","3"
"387","4"
"388","3"
"389","8"
"390","5"
"391","4"
"392","5"
"393","5"
"394","7"
"395","6"
"396","4"
"397","4"
"398","3"
"399","7"
"400","5"
"401","1"
"402","2"
"403","4"
"404","4"
"405","3"
"406","5"
"407","2"
"408","1"
"409","4"
"410","3"
"411","3"
"412","8"
"413","5"
"414","5"
"415","1"
"416","1"
"417","1"
"418","4"
"419","1"
"420","5"
"421","8"
"422","5"
"423","5"
"424","4"
"425","2"
"426","2"
"427","3"
"428","5"
"429","5"
"430","3"
"431","3"
"432","6"
"433","8"
"434","4"
"435","3"
"436","7"
"437","3"
"438","1"
"439","3"
"440","4"
"441","3"
"442","4"
"443","6"
"444","4"
"445","8"
"446","2"
"447","2"
"448","5"
"449","9"
"450","2"
"451","7"
"452","3"
"453","4"
"454","5"
"455","3"
"456","5"
"457","4"
"458","8"
"459","2"
"460","3"
"461","8"
"462","5"
"463","3"
"464","5"
"465","2"
"466","1"
"467","8"
"468","5"
"469","8"
"470","5"
"471","9"
"472","5"
"473","7"
"474","5"
"475","4"
"476","7"
"477","4"
"478","4"
"479","6"
"480","1"
"481","3"
"482","3"
"483","3"
"484","8"
"485","3"
"486","5"
"487","5"
"488","5"
"489","5"
"490","8"
"491","3"
"492","4"
"493","2"
"494","5"
"495","3"
"496","7"
"497","3"
"498","5"
"499","3"
"500","5"
"501","5"
"502","2"
"503","4"
"504","8"
"505","8"
"506","2"
"507","2"
"508","4"
"509","5"
"510","5"
"511","4"
"512","5"
"513","5"
"514","7"
"515","7"
"516","5"
"517","5"
"518","1"
"519","8"
"520","1"
"521","7"
"522","3"
"523","9"
"524","4"
"525","3"
"526","5"
"527","3"
"528","4"
"529","8"
"530","2"
"531","5"
"532","4"
"533","5"
"534","6"
"535","3"
"536","1"
"537","3"
"538","2"
"539","4"
"540","4"
"541","5"
"542","4"
"543","9"
"544","1"
"545","5"
"546","1"
"547","4"
"548","4"
"549","8"
"550","9"
"551","1"
"552","8"
"553","4"
"554","8"
"555","5"
"556","3"
"557","8"
"558","6"
"559","9"
"560","2"
"561","3"
"562","8"
"563","9"
"564","4"
"565","1"
"566","5"
"567","7"
"568","5"
"569","5"
"570","5"
"571","5"
"572","1"
"573","1"
"574","7"
"575","5"
"576","2"
"577","4"
"578","3"
"579","2"
"580","5"
"581","4"
"582","2"
"583","5"
"584","8"
"585","4"
"586","5"
"587","4"
"588","8"
"589","8"
"590","8"
"591","2"
"592","7"
"593","1"
"594","4"
"595","5"
"596","5"
"597","7"
"598","4"
"599","5"
"600","3"
"601","6"
"602","4"
"603","4"
"604","4"
"605","1"
"606","7"
"607","3"
"608","2"
"609","4"
"610","4"
"611","7"
"612","8"
"613","5"
"614","2"
"615","3"
"616","8"
"617","4"
"618","3"
"619","3"
"620","2"
"621","4"
"622","3"
"623","8"
"624","9"
"625","3"
"626","3"
"627","4"
"628","4"
"629","8"
"630","5"
"631","5"
"632","8"
"633","3"
"634","7"
"635","1"
"636","5"
"637","8"
"638","6"
"639","5"
"640","5"
"641","1"
"642","5"
"643","3"
"644","3"
"645","9"
"646","5"
"647","8"
"648","4"
"649","2"
"650","3"
"651","5"
"652","3"
"653","2"
"654","8"
"655","4"
"656","2"
"657","1"
"658","3"
"659","5"
"660","5"
"661","5"
"662","4"
"663","8"
"664","3"
"665","5"
"666","9"
"667","4"
"668","4"
"669","8"
"670","8"
"671","5"
"672","6"
"673","9"
"674","4"
"675","5"
"676","9"
"677","3"
"678","8"
"679","4"
"680","5"
"681","2"
"682","6"
"683","2"
"684","2"
"685","9"
"686","8"
"687","7"
"688","3"
"689","3"
"690","3"
"691","3"
"692","5"
"693","5"
"694","4"
"695","2"
"696","9"
"697","3"
"698","2"
"699","2"
"700","3"
"701","4"
"702","5"
"703","4"
"704","1"
"705","8"
"706","8"
"707","4"
"708","5"
"709","4"
"710","5"
"711","4"
"712","9"
"713","6"
"714","3"
"715","4"
"716","6"
"717","8"
"718","4"
"719","8"
"720","8"
"721","4"
"722","2"
"723","8"
"724","1"
"725","3"
"726","5"
"727","5"
"728","8"
"729","3"
"730","4"
"731","1"
"732","2"
"733","9"
"734","1"
"735","3"
"736","5"
"737","9"
"738","1"
"739","7"
"740","5"
"741","1"
"742","4"
"743","5"
"744","7"
"745","9"
"746","1"
"747","9"
"748","8"
"749","7"
"750","4"
"751","4"
"752","5"
"753","5"
"754","7"
"755","9"
"756","5"
"757","1"
"758","9"
"759","5"
"760","3"
"761","4"
"762","3"
"763","3"
"764","1"
"765","5"
"766","8"
"767","5"
"768","7"
"769","5"
"770","1"
"771","3"
"772","2"
"773","3"
"774","6"
"775","2"
"776","5"
"777","3"
"778","8"
"779","2"
"780","3"
"781","3"
"782","1"
"783","5"
"784","3"
"785","1"
"786","3"
"787","7"
"788","8"
"789","4"
"790","2"
"791","4"
"792","4"
"793","3"
"794","1"
"795","8"
"796","8"
"797","8"
"798","3"
"799","5"
"800","3"
"801","5"
"802","2"
"803","4"
"804","5"
"805","5"
"806","8"
"807","1"
"808","5"
"809","3"
"810","1"
"811","5"
"812","1"
"813","1"
"814","5"
"815","5"
"816","3"
"817","5"
"818","3"
"819","8"
"820","3"
"821","4"
"822","5"
"823","3"
"824","4"
"825","4"
"826","4"
"827","7"
"828","9"
"829","1"
"830","3"
"831","5"
"832","4"
"833","5"
"834","5"
"835","4"
"836","4"
"837","4"
"838","3"
"839","1"
"840","5"
"841","2"
"842","8"
"843","3"
"844","3"
"845","5"
"846","3"
"847","4"
"848","4"
"849","5"
"850","4"
"851","3"
"852","5"
"853","8"
"854","3"
"855","3"
"856","5"
"857","1"
"858","5"
"859","1"
"860","3"
"861","7"
"862","6"
"863","4"
"864","3"
"865","5"
"866","1"
"867","4"
"868","5"
"869","3"
"870","2"
"871","4"
"872","5"
"873","3"
"874","3"
"875","1"
"876","7"
"877","4"
"878","7"
"879","8"
"880","3"
"881","2"
"882","7"
"883","8"
"884","3"
"885","1"
"886","8"
"887","3"
"888","5"
"889","4"
"890","3"
"891","3"
"892","8"
"893","1"
"894","3"
"895","1"
"896","6"
"897","5"
"898","5"
"899","5"
"900","2"
"901","4"
"902","9"
"903","2"
"904","3"
"905","8"
"906","7"
"907","8"
"908","3"
"909","5"
"910","4"
"911","4"
"912","5"
"913","5"
"914","2"
"915","4"
"916","5"
"917","6"
"918","8"
"919","3"
"920","3"
"921","8"
"922","3"
"923","4"
"924","3"
"925","4"
"926","3"
"927","5"
"928","4"
"929","1"
"930","7"
"931","3"
"932","8"
"933","2"
"934","9"
"935","5"
"936","5"
"937","7"
"938","4"
"939","3"
"940","5"
"941","5"
"942","8"
"943","1"
"944","4"
"945","3"
"946","3"
"947","4"
"948","2"
"949","1"
"950","1"
"951","4"
"952","3"
"953","8"
"954","9"
"955","3"
"956","3"
"957","3"
"958","3"
"959","1"
"960","5"
"961","2"
"962","3"
"963","8"
"964","5"
"965","3"
"966","1"
"967","1"
"968","2"
"969","2"
"970","5"
"971","2"
"972","5"
"973","3"
"974","2"
"975","5"
"976","1"
"977","3"
"978","3"
"979","6"
"980","1"
"981","1"
"982","8"
"983","3"
"984","3"
"985","1"
"986","8"
"987","1"
"988","2"
"989","5"
"990","5"
"991","5"
"992","5"
"993","8"
"994","5"
"995","8"
"996","8"
"997","5"
"998","5"
"999","5"
"1000","3"
