"","x"
"396","9"
"397","9"
"398","5"
"399","8"
"400","2"
"401","1"
"402","3"
"403","9"
"404","9"
"405","5"
"406","4"
"407","3"
"408","1"
"409","9"
"410","5"
"411","9"
"412","6"
"413","4"
"414","2"
"415","1"
"416","1"
"417","1"
"418","9"
"419","1"
"420","4"
"421","6"
"422","4"
"423","4"
"424","9"
"425","3"
"426","3"
"427","5"
"428","2"
"429","4"
"430","5"
"431","4"
"432","7"
"433","6"
"434","2"
"435","5"
"436","8"
"437","5"
"438","1"
"439","6"
"440","2"
"441","5"
"442","2"
"443","7"
"444","9"
"445","5"
"446","3"
"447","3"
"448","4"
"449","6"
"450","3"
"451","8"
"452","5"
"453","9"
"454","4"
"455","5"
"456","6"
"457","9"
"458","6"
"459","3"
"460","5"
"461","6"
"462","4"
"463","5"
"464","4"
"465","3"
"466","1"
"467","6"
"468","4"
"469","6"
"470","6"
"471","6"
"472","6"
"473","8"
"474","4"
"475","2"
"476","8"
"477","9"
"478","9"
"479","7"
"480","1"
"481","6"
"482","5"
"483","5"
"484","6"
"485","5"
"486","4"
"487","4"
"488","2"
"489","4"
"490","6"
"491","6"
"492","2"
"493","3"
"494","4"
"495","5"
"496","8"
"497","5"
"498","4"
"499","5"
"500","2"
"501","4"
"502","3"
"503","9"
"504","6"
"505","6"
"506","3"
"507","3"
"508","2"
"509","4"
"510","4"
"511","9"
"512","2"
"513","2"
"514","8"
"515","8"
"516","4"
"517","4"
"518","1"
"519","6"
"520","1"
"521","8"
"522","9"
"523","6"
"524","9"
"525","5"
"526","4"
"527","6"
"528","9"
"529","6"
"530","3"
"531","4"
"532","2"
"533","2"
"534","7"
"535","5"
"536","1"
"537","5"
"538","3"
"539","9"
"540","9"
"541","4"
"542","9"
"543","6"
"544","1"
"545","4"
"546","1"
"547","2"
"548","9"
"549","6"
"550","3"
"551","1"
"552","6"
"553","2"
"554","6"
"555","4"
"556","5"
"557","6"
"558","8"
"559","6"
"560","3"
"561","5"
"562","6"
"563","3"
"564","2"
"565","1"
"566","2"
"567","8"
"568","2"
"569","4"
"570","4"
"571","2"
"572","1"
"573","1"
"574","8"
"575","4"
"576","3"
"577","4"
"578","5"
"579","3"
"580","4"
"581","9"
"582","3"
"583","4"
"584","6"
"585","9"
"586","4"
"587","9"
"588","5"
"589","6"
"590","6"
"591","3"
"592","8"
"593","1"
"594","9"
"595","4"
"596","6"
"597","8"
"598","2"
"599","4"
"600","6"
"601","7"
"602","4"
"603","9"
"604","2"
"605","1"
"606","8"
"607","5"
"608","3"
"609","4"
"610","9"
"611","8"
"612","5"
"613","2"
"614","3"
"615","5"
"616","6"
"617","9"
"618","9"
"619","5"
"620","3"
"621","9"
"622","5"
"623","5"
"624","6"
"625","5"
"626","5"
"627","2"
"628","4"
"629","6"
"630","4"
"631","4"
"632","6"
"633","5"
"634","8"
"635","1"
"636","6"
"637","6"
"638","7"
"639","2"
"640","4"
"641","1"
"642","4"
"643","5"
"644","5"
"645","6"
"646","2"
"647","6"
"648","9"
"649","3"
"650","5"
"651","4"
"652","6"
"653","3"
"654","6"
"655","2"
"656","3"
"657","1"
"658","5"
"659","4"
"660","4"
"661","4"
"662","9"
"663","9"
"664","6"
"665","4"
"666","6"
"667","9"
"668","9"
"669","6"
"670","5"
"671","4"
"672","7"
"673","6"
"674","2"
"675","4"
"676","6"
"677","5"
"678","6"
"679","2"
"680","4"
"681","3"
"682","7"
"683","3"
"684","3"
"685","6"
"686","6"
"687","8"
"688","5"
"689","5"
"690","5"
"691","5"
"692","4"
"693","2"
"694","9"
"695","3"
"696","3"
"697","5"
"698","3"
"699","3"
"700","5"
"701","4"
"702","9"
"703","2"
"704","8"
"705","6"
"706","5"
"707","9"
"708","6"
"709","9"
"710","4"
"711","2"
"712","6"
"713","7"
"714","5"
"715","9"
"716","7"
"717","6"
"718","2"
"719","5"
"720","6"
"721","2"
"722","3"
"723","6"
"724","1"
"725","5"
"726","2"
"727","4"
"728","5"
"729","5"
"730","9"
"731","1"
"732","3"
"733","6"
"734","1"
"735","5"
"736","2"
"737","6"
"738","1"
"739","8"
"740","4"
"741","1"
"742","9"
"743","4"
"744","8"
"745","6"
"746","1"
"747","6"
"748","6"
"749","8"
"750","2"
"751","2"
"752","2"
"753","4"
"754","8"
"755","3"
"756","4"
"757","1"
"758","6"
"759","2"
"760","5"
"761","9"
"762","5"
"763","5"
"764","1"
"765","2"
"766","6"
"767","4"
"768","8"
"769","4"
"770","1"
"771","5"
"772","3"
"773","5"
"774","7"
"775","3"
"776","6"
"777","5"
"778","6"
"779","3"
"780","5"
"781","5"
"782","1"
"783","4"
"784","2"
"785","8"
"786","5"
"787","8"
"788","5"
"789","9"
"790","3"
"791","9"
"792","4"
"793","5"
"794","1"
"795","2"
"796","6"
"797","6"
"798","5"
"799","4"
"800","6"
"801","4"
"802","3"
"803","9"
"804","4"
"805","4"
"806","6"
"807","1"
"808","4"
"809","5"
"810","1"
"811","4"
"812","1"
"813","1"
"814","6"
"815","4"
"816","5"
"817","4"
"818","5"
"819","6"
"820","5"
"821","2"
"822","4"
"823","5"
"824","9"
"825","9"
"826","5"
"827","8"
"828","6"
"829","1"
"830","5"
"831","2"
"832","2"
"833","4"
"834","4"
"835","2"
"836","2"
"837","2"
"838","6"
"839","1"
"840","6"
"841","3"
"842","6"
"843","5"
"844","5"
"845","4"
"846","5"
"847","2"
"848","2"
"849","6"
"850","5"
"851","5"
"852","4"
"853","6"
"854","9"
"855","5"
"856","2"
"857","1"
"858","2"
"859","8"
"860","5"
"861","8"
"862","7"
"863","2"
"864","5"
"865","4"
"866","1"
"867","2"
"868","4"
"869","5"
"870","3"
"871","2"
"872","4"
"873","6"
"874","5"
"875","1"
"876","8"
"877","9"
"878","8"
"879","6"
"880","5"
"881","3"
"882","8"
"883","5"
"884","5"
"885","1"
"886","6"
"887","5"
"888","4"
"889","2"
"890","5"
"891","5"
"892","6"
"893","1"
"894","9"
"895","1"
"896","7"
"897","6"
"898","4"
"899","6"
"900","3"
"901","2"
"902","6"
"903","3"
"904","5"
"905","6"
"906","8"
"907","6"
"908","6"
"909","4"
"910","9"
"911","2"
"912","4"
"913","4"
"914","3"
"915","2"
"916","4"
"917","7"
"918","6"
"919","6"
"920","5"
"921","5"
"922","5"
"923","2"
"924","5"
"925","2"
"926","5"
"927","4"
"928","5"
"929","1"
"930","8"
"931","5"
"932","5"
"933","3"
"934","6"
"935","4"
"936","4"
"937","8"
"938","9"
"939","9"
"940","4"
"941","6"
"942","6"
"943","1"
"944","2"
"945","5"
"946","5"
"947","9"
"948","3"
"949","1"
"950","1"
"951","4"
"952","5"
"953","6"
"954","6"
"955","5"
"956","5"
"957","5"
"958","5"
"959","1"
"960","2"
"961","3"
"962","5"
"963","6"
"964","6"
"965","5"
"966","1"
"967","1"
"968","3"
"969","3"
"970","2"
"971","3"
"972","4"
"973","5"
"974","3"
"975","4"
"976","1"
"977","5"
"978","5"
"979","7"
"980","1"
"981","1"
"982","6"
"983","5"
"984","5"
"985","1"
"986","5"
"987","1"
"988","3"
"989","4"
"990","4"
"991","2"
"992","4"
"993","6"
"994","2"
"995","6"
"996","6"
"997","2"
"998","2"
"999","4"
"1000","5"
"1001","2"
"1002","3"
"1003","3"
"1004","3"
"1005","3"
"1006","4"
"1007","6"
"1008","4"
"1009","3"
"1010","8"
"1011","5"
"1012","2"
"1013","5"
"1014","5"
"1015","4"
"1016","1"
"1017","2"
"1018","5"
"1019","4"
"1020","5"
"1021","4"
"1022","7"
"1023","6"
"1024","3"
"1025","8"
"1026","9"
"1027","5"
"1028","5"
"1029","9"
"1030","6"
"1031","5"
"1032","1"
"1033","9"
"1034","3"
"1035","7"
"1036","7"
"1037","5"
"1038","3"
"1039","6"
"1040","8"
"1041","2"
"1042","2"
"1043","5"
"1044","2"
"1045","3"
"1046","5"
"1047","2"
"1048","4"
"1049","2"
"1050","1"
"1051","6"
"1052","8"
"1053","8"
"1054","6"
"1055","5"
"1056","3"
"1057","4"
"1058","9"
"1059","8"
"1060","9"
"1061","2"
"1062","9"
"1063","6"
"1064","6"
"1065","5"
"1066","8"
"1067","2"
"1068","5"
"1069","5"
"1070","4"
"1071","5"
"1072","6"
"1073","1"
"1074","5"
"1075","4"
"1076","9"
"1077","4"
"1078","3"
"1079","2"
"1080","1"
"1081","8"
"1082","1"
"1083","4"
"1084","6"
"1085","5"
"1086","4"
"1087","8"
"1088","6"
"1089","3"
"1090","3"
"1091","7"
"1092","9"
"1093","1"
"1094","6"
"1095","5"
"1096","8"
"1097","4"
"1098","5"
"1099","4"
"1100","7"
"1101","4"
"1102","6"
"1103","2"
"1104","6"
"1105","6"
"1106","5"
"1107","9"
"1108","6"
"1109","8"
"1110","4"
"1111","1"
"1112","4"
"1113","8"
"1114","2"
"1115","4"
"1116","9"
"1117","1"
"1118","5"
"1119","1"
"1120","9"
"1121","5"
"1122","6"
"1123","7"
"1124","5"
"1125","9"
"1126","5"
"1127","1"
"1128","5"
"1129","6"
"1130","5"
"1131","2"
"1132","4"
"1133","5"
"1134","1"
"1135","8"
"1136","5"
"1137","8"
"1138","1"
"1139","6"
"1140","4"
"1141","3"
"1142","5"
"1143","6"
"1144","8"
"1145","8"
"1146","2"
"1147","5"
"1148","1"
"1149","1"
"1150","2"
"1151","4"
"1152","9"
"1153","9"
"1154","7"
"1155","9"
"1156","6"
"1157","4"
"1158","3"
"1159","2"
"1160","5"
"1161","4"
"1162","1"
"1163","1"
"1164","5"
"1165","8"
"1166","5"
"1167","6"
"1168","8"
"1169","2"
"1170","1"
"1171","2"
"1172","3"
"1173","4"
"1174","5"
"1175","6"
"1176","6"
"1177","6"
"1178","5"
"1179","5"
"1180","3"
"1181","3"
"1182","6"
"1183","3"
"1184","6"
"1185","9"
"1186","4"
"1187","7"
"1188","5"
"1189","4"
"1190","6"
"1191","6"
"1192","5"
"1193","4"
"1194","5"
"1195","3"
"1196","8"
"1197","7"
"1198","2"
"1199","6"
"1200","6"
"1201","1"
"1202","4"
"1203","7"
"1204","9"
"1205","9"
"1206","3"
"1207","9"
"1208","6"
"1209","3"
"1210","4"
"1211","4"
"1212","6"
"1213","4"
"1214","7"
"1215","3"
"1216","2"
"1217","5"
"1218","9"
"1219","6"
"1220","6"
"1221","6"
"1222","5"
"1223","6"
"1224","5"
"1225","9"
"1226","2"
"1227","7"
"1228","4"
"1229","6"
"1230","1"
"1231","2"
"1232","9"
"1233","1"
"1234","6"
"1235","6"
"1236","7"
"1237","2"
"1238","8"
"1239","4"
"1240","1"
"1241","5"
"1242","4"
"1243","2"
"1244","7"
"1245","3"
"1246","9"
"1247","3"
"1248","5"
"1249","7"
"1250","9"
"1251","6"
"1252","8"
"1253","6"
"1254","5"
"1255","6"
"1256","1"
"1257","4"
"1258","5"
"1259","3"
"1260","6"
"1261","8"
"1262","6"
"1263","4"
"1264","1"
"1265","5"
"1266","2"
"1267","8"
"1268","9"
"1269","9"
"1270","4"
"1271","7"
"1272","5"
"1273","3"
"1274","5"
"1275","9"
"1276","6"
"1277","5"
"1278","6"
"1279","5"
"1280","6"
"1281","5"
"1282","3"
"1283","1"
"1284","4"
"1285","5"
"1286","6"
"1287","9"
"1288","5"
"1289","9"
"1290","6"
"1291","1"
"1292","5"
"1293","2"
"1294","4"
"1295","7"
"1296","3"
"1297","6"
"1298","1"
"1299","3"
"1300","4"
"1301","4"
"1302","3"
"1303","5"
"1304","5"
"1305","4"
"1306","4"
"1307","6"
"1308","9"
"1309","2"
"1310","6"
"1311","6"
"1312","6"
"1313","2"
"1314","8"
"1315","8"
"1316","4"
"1317","2"
"1318","4"
"1319","6"
"1320","5"
"1321","9"
"1322","1"
"1323","9"
"1324","9"
"1325","8"
"1326","5"
"1327","2"
"1328","6"
"1329","2"
"1330","5"
"1331","4"
"1332","2"
"1333","4"
"1334","8"
"1335","8"
"1336","7"
"1337","3"
"1338","6"
"1339","5"
"1340","8"
"1341","8"
"1342","5"
"1343","8"
"1344","4"
"1345","6"
"1346","2"
"1347","2"
"1348","6"
"1349","6"
"1350","8"
"1351","9"
"1352","2"
"1353","4"
"1354","2"
"1355","8"
"1356","8"
"1357","2"
"1358","2"
"1359","6"
"1360","9"
"1361","1"
"1362","1"
"1363","5"
"1364","4"
"1365","6"
"1366","9"
"1367","6"
"1368","4"
"1369","5"
"1370","2"
"1371","7"
"1372","4"
"1373","2"
"1374","5"
"1375","8"
"1376","8"
"1377","5"
"1378","6"
"1379","6"
"1380","5"
"1381","7"
"1382","9"
"1383","5"
"1384","3"
"1385","4"
"1386","1"
"1387","2"
"1388","1"
"1389","5"
"1390","6"
"1391","7"
"1392","8"
"1393","1"
"1394","9"
"1395","3"
"1396","8"
"1397","9"
"1398","5"
"1399","2"
"1400","5"
"1401","5"
"1402","8"
"1403","4"
"1404","6"
"1405","4"
"1406","4"
"1407","6"
"1408","3"
"1409","3"
"1410","2"
"1411","8"
"1412","9"
"1413","2"
"1414","6"
"1415","2"
"1416","8"
"1417","3"
"1418","5"
"1419","5"
"1420","8"
"1421","1"
"1422","9"
"1423","6"
"1424","5"
"1425","6"
"1426","5"
"1427","9"
"1428","4"
"1429","9"
"1430","9"
"1431","6"
"1432","2"
"1433","6"
"1434","3"
"1435","5"
"1436","1"
"1437","6"
"1438","4"
"1439","4"
"1440","1"
"1441","5"
"1442","5"
"1443","1"
"1444","2"
"1445","4"
"1446","2"
"1447","5"
"1448","6"
"1449","5"
"1450","5"
"1451","4"
"1452","9"
"1453","8"
"1454","2"
"1455","5"
"1456","4"
"1457","5"
"1458","4"
"1459","6"
"1460","5"
"1461","8"
"1462","1"
"1463","4"
"1464","5"
"1465","4"
"1466","3"
"1467","9"
"1468","6"
"1469","1"
"1470","4"
"1471","9"
"1472","2"
"1473","8"
"1474","4"
"1475","5"
"1476","7"
"1477","3"
"1478","8"
"1479","7"
"1480","5"
"1481","1"
"1482","1"
"1483","3"
"1484","1"
"1485","6"
"1486","9"
"1487","9"
"1488","8"
"1489","5"
"1490","4"
"1491","3"
"1492","2"
"1493","9"
"1494","3"
"1495","2"
"1496","4"
"1497","5"
"1498","9"
"1499","5"
"1500","1"
"1501","7"
"1502","5"
"1503","4"
"1504","6"
"1505","9"
"1506","3"
"1507","2"
"1508","4"
"1509","5"
"1510","1"
"1511","3"
"1512","8"
"1513","2"
"1514","4"
"1515","6"
"1516","3"
"1517","6"
"1518","4"
"1519","3"
"1520","1"
"1521","8"
"1522","9"
"1523","1"
"1524","9"
"1525","9"
"1526","4"
"1527","1"
"1528","6"
"1529","6"
"1530","4"
"1531","6"
"1532","5"
"1533","9"
"1534","1"
"1535","9"
"1536","8"
"1537","5"
"1538","3"
"1539","4"
"1540","3"
"1541","2"
"1542","5"
"1543","2"
"1544","6"
"1545","8"
"1546","8"
"1547","6"
"1548","9"
"1549","8"
"1550","2"
"1551","1"
"1552","6"
"1553","9"
"1554","3"
"1555","9"
"1556","2"
"1557","8"
"1558","1"
"1559","5"
"1560","4"
"1561","8"
"1562","8"
"1563","5"
"1564","6"
"1565","3"
"1566","5"
"1567","5"
"1568","1"
"1569","5"
"1570","2"
"1571","4"
"1572","6"
"1573","2"
"1574","1"
"1575","2"
"1576","2"
"1577","3"
"1578","6"
"1579","3"
"1580","5"
"1581","4"
"1582","5"
"1583","9"
"1584","2"
"1585","2"
"1586","5"
"1587","6"
"1588","8"
"1589","4"
"1590","8"
"1591","3"
"1592","6"
"1593","6"
"1594","5"
"1595","6"
"1596","1"
"1597","5"
"1598","4"
"1599","8"
"1600","2"
"1601","2"
"1602","2"
"1603","2"
"1604","9"
"1605","8"
"1606","5"
"1607","6"
"1608","6"
"1609","6"
"1610","5"
"1611","5"
"1612","9"
"1613","1"
"1614","2"
"1615","2"
"1616","3"
"1617","4"
"1618","2"
"1619","6"
"1620","2"
"1621","8"
"1622","8"
"1623","5"
"1624","2"
"1625","4"
"1626","1"
"1627","6"
"1628","1"
"1629","9"
"1630","3"
"1631","9"
"1632","5"
"1633","2"
"1634","6"
"1635","6"
"1636","2"
"1637","7"
"1638","4"
"1639","1"
"1640","8"
"1641","3"
"1642","5"
"1643","5"
"1644","5"
"1645","6"
"1646","9"
"1647","9"
"1648","5"
"1649","6"
"1650","5"
"1651","9"
"1652","9"
"1653","9"
"1654","4"
"1655","7"
"1656","9"
"1657","6"
"1658","8"
"1659","4"
"1660","6"
"1661","2"
"1662","4"
"1663","4"
"1664","6"
"1665","9"
"1666","3"
"1667","4"
"1668","6"
"1669","3"
"1670","4"
"1671","9"
"1672","2"
"1673","2"
"1674","4"
"1675","1"
"1676","8"
"1677","5"
"1678","9"
"1679","5"
"1680","3"
"1681","3"
"1682","2"
"1683","7"
"1684","8"
"1685","8"
"1686","1"
"1687","6"
"1688","8"
"1689","5"
"1690","6"
"1691","5"
"1692","2"
"1693","4"
"1694","8"
"1695","4"
"1696","3"
"1697","8"
"1698","3"
"1699","9"
"1700","7"
"1701","1"
"1702","4"
"1703","3"
"1704","9"
"1705","1"
"1706","9"
"1707","9"
"1708","7"
"1709","8"
"1710","6"
"1711","6"
"1712","5"
"1713","7"
"1714","2"
"1715","1"
"1716","6"
"1717","9"
"1718","3"
"1719","4"
"1720","6"
"1721","3"
"1722","4"
"1723","1"
"1724","2"
"1725","5"
"1726","6"
"1727","8"
"1728","4"
"1729","2"
"1730","1"
"1731","8"
"1732","6"
"1733","5"
"1734","4"
"1735","4"
"1736","4"
"1737","8"
"1738","3"
"1739","3"
"1740","5"
"1741","8"
"1742","8"
"1743","2"
"1744","5"
"1745","6"
"1746","6"
"1747","8"
"1748","4"
"1749","4"
"1750","6"
"1751","3"
"1752","9"
"1753","5"
"1754","4"
"1755","3"
"1756","6"
"1757","5"
"1758","4"
"1759","2"
"1760","5"
"1761","3"
"1762","6"
"1763","4"
"1764","5"
"1765","1"
"1766","5"
"1767","5"
"1768","2"
"1769","2"
"1770","8"
"1771","3"
"1772","6"
"1773","4"
"1774","9"
"1775","1"
"1776","3"
"1777","4"
"1778","5"
"1779","6"
"1780","9"
"1781","4"
"1782","6"
"1783","2"
"1784","5"
"1785","2"
"1786","4"
"1787","2"
"1788","6"
"1789","5"
"1790","8"
"1791","4"
"1792","4"
"1793","1"
"1794","6"
"1795","3"
"1796","2"
"1797","1"
"1798","8"
"1799","9"
"1800","8"
"1801","7"
"1802","3"
"1803","5"
"1804","7"
"1805","6"
"1806","3"
"1807","1"
"1808","6"
"1809","5"
"1810","5"
"1811","9"
"1812","6"
"1813","5"
"1814","5"
"1815","9"
"1816","8"
"1817","5"
"1818","3"
"1819","7"
"1820","5"
"1821","5"
"1822","4"
"1823","5"
"1824","5"
"1825","9"
"1826","6"
"1827","5"
"1828","8"
"1829","8"
"1830","4"
"1831","4"
"1832","1"
"1833","4"
"1834","9"
"1835","6"
"1836","5"
"1837","1"
"1838","8"
"1839","2"
"1840","1"
"1841","4"
"1842","4"
"1843","9"
"1844","4"
"1845","8"
"1846","3"
"1847","2"
"1848","9"
"1849","2"
"1850","4"
"1851","3"
"1852","3"
"1853","1"
"1854","8"
"1855","1"
"1856","2"
"1857","6"
"1858","8"
"1859","1"
"1860","7"
"1861","9"
"1862","1"
"1863","1"
"1864","3"
"1865","1"
"1866","5"
"1867","5"
"1868","8"
"1869","4"
"1870","6"
"1871","9"
"1872","3"
"1873","1"
"1874","2"
"1875","5"
"1876","8"
"1877","9"
"1878","7"
"1879","4"
"1880","2"
"1881","9"
"1882","4"
"1883","3"
"1884","1"
"1885","6"
"1886","5"
"1887","3"
"1888","3"
"1889","3"
"1890","4"
"1891","5"
"1892","3"
"1893","5"
"1894","8"
"1895","3"
"1896","8"
"1897","3"
"1898","5"
"1899","9"
"1900","9"
"1901","2"
"1902","6"
"1903","5"
"1904","5"
"1905","2"
"1906","1"
"1907","6"
"1908","5"
"1909","5"
"1910","6"
"1911","3"
"1912","5"
"1913","6"
"1914","6"
"1915","3"
"1916","8"
"1917","8"
"1918","1"
"1919","3"
"1920","4"
"1921","4"
"1922","7"
"1923","2"
"1924","5"
"1925","1"
"1926","2"
"1927","5"
"1928","6"
"1929","5"
"1930","2"
"1931","5"
"1932","5"
"1933","1"
"1934","2"
"1935","9"
"1936","1"
"1937","8"
"1938","8"
"1939","8"
"1940","4"
"1941","2"
"1942","8"
"1943","4"
"1944","4"
"1945","9"
"1946","2"
"1947","5"
"1948","5"
"1949","4"
"1950","6"
"1951","7"
"1952","5"
"1953","1"
"1954","1"
"1955","3"
"1956","3"
"1957","5"
"1958","3"
"1959","4"
"1960","1"
"1961","3"
"1962","4"
"1963","1"
"1964","4"
"1965","4"
"1966","9"
"1967","4"
"1968","5"
"1969","2"
"1970","7"
"1971","6"
"1972","8"
"1973","7"
"1974","6"
"1975","3"
"1976","5"
"1977","2"
"1978","6"
"1979","1"
"1980","4"
"1981","5"
"1982","4"
"1983","5"
"1984","4"
"1985","5"
"1986","4"
"1987","1"
"1988","5"
"1989","8"
"1990","6"
"1991","9"
"1992","1"
"1993","6"
"1994","2"
"1995","7"
"1996","5"
"1997","5"
"1998","6"
"1999","4"
"2000","8"
"2001","9"
"2002","5"
"2003","6"
"2004","8"
"2005","9"
"2006","4"
"2007","4"
"2008","6"
"2009","5"
"2010","4"
"2011","6"
"2012","8"
"2013","7"
"2014","4"
"2015","4"
"2016","6"
"2017","6"
"2018","1"
"2019","4"
"2020","5"
"2021","2"
"2022","9"
"2023","4"
"2024","2"
"2025","6"
"2026","9"
"2027","5"
"2028","2"
"2029","6"
"2030","5"
"2031","9"
"2032","1"
"2033","5"
"2034","4"
"2035","3"
"2036","6"
"2037","1"
"2038","1"
"2039","5"
"2040","6"
"2041","3"
"2042","6"
"2043","1"
"2044","6"
"2045","4"
"2046","1"
"2047","4"
"2048","1"
"2049","2"
"2050","6"
"2051","3"
"2052","7"
"2053","3"
"2054","4"
"2055","9"
"2056","1"
"2057","2"
"2058","6"
"2059","6"
"2060","5"
"2061","5"
"2062","8"
"2063","4"
"2064","8"
"2065","2"
"2066","5"
"2067","5"
"2068","5"
"2069","5"
"2070","6"
"2071","8"
"2072","2"
"2073","9"
"2074","5"
"2075","1"
"2076","8"
"2077","3"
"2078","6"
"2079","7"
"2080","2"
"2081","4"
"2082","6"
"2083","4"
"2084","6"
"2085","6"
"2086","5"
"2087","1"
"2088","4"
"2089","9"
"2090","5"
"2091","9"
"2092","4"
"2093","4"
"2094","4"
"2095","2"
"2096","8"
"2097","1"
"2098","4"
"2099","3"
"2100","1"
"2101","3"
"2102","5"
"2103","4"
"2104","9"
"2105","6"
"2106","5"
"2107","3"
"2108","5"
"2109","5"
"2110","6"
"2111","1"
"2112","4"
"2113","5"
"2114","5"
"2115","4"
"2116","3"
"2117","5"
"2118","6"
"2119","6"
"2120","5"
"2121","4"
"2122","1"
"2123","2"
"2124","8"
"2125","8"
"2126","5"
"2127","2"
"2128","5"
"2129","6"
"2130","2"
"2131","1"
"2132","5"
"2133","1"
"2134","6"
"2135","5"
"2136","9"
"2137","2"
"2138","4"
"2139","4"
"2140","8"
"2141","4"
